Terminal log file
Date: 2016-07-28 - 10:31:48 AM
-----------------------------------------------

FFT Testing
FFT Size = 1024

56597
Real Transform Data
89 0
-8 -2
43 -5
-6 -2
-5 -2
-6 -2
-7 -2
-5 -2
-4 -2
-4 -2
-4 -2
-5 -2
-5 -2
-5 -2
-6 -2
-4 -2
-3 -2
-4 -2
-4 -2
-4 -2
-5 -2
-5 -2
-5 -2
-4 -2
-2 -2
-2 -2
-4 -2
-5 -2
-5 -2
-5 -2
-4 -22
-4 -2
-2 -2
-3 -2
-4 -2
-2 -1
-3 -2
-3 -2
-3 -2
-3 -2
-2 0
-4 -2
-3 -2
-3 -1
-4 -2
-4 -2
-3 -2
-3 -2
-2 -2
-2 -1
-3 -2
-3 -1
-3 -2
-4 -2
-4 -1
-2 0
0 0
-2 -2
-3 -2
-2 -1
-4 -2
-4 -1
-4 -2
-3 -2
0 -1
-2 0
-1 0
-2 -1
-2 -1
-2 -1
-2 -1
-3 -1
-2 -1
-2 -2
-2 -2
-3 -2
-2 -2
-4 -2
-3 -2
-2 -2
-2 -2
-3 -1
-3 -1
-3 -2
-3 -2
-3 -1
-2 -1
-2 -1
-2 -1
-2 -2
-1 -1
-3 -1
-3 -2
-3 -1
-4 -1
-2 -2
-2 -2
-2 -2
-2 -1
-2 0
-3 -1
-2 -2
-3 -2
-2 -1
-2 -1
-2 -2
-2 -2
-3 0
-3 -2
-4 -1
-3 -1
-3 -1
-1 -2
0 0
-3 -1
-2 -2
-2 -1
-3 -2
-2 -1
-3 -1
0 0
-1 -1
-2 -2
-1 0
-3 -2
-3 -1
-2 -1
-2 -1
-1 -2
0 0
-2 -2
0 -1
0 0
0 0
0 0
-2 -1
-1 -1
-1 -1
-2 -1
-1 0
0 0
-1 0
-2 -2
-2 -1
-1 0
-1 -2
-1 -1
-1 -1
-1 -1
-3 -2
-2 -2
0 -1
-2 -2
-1 -1
-2 -1
-1 -1
0 0
-1 -1
-2 -2
-1 -1
-1 -1
-2 -2
-1 0
-2 -1
-2 -2
-2 -1
-1 -2
-1 -1
-1 0
-2 -1
-3 0
-2 0
0 0
-2 -1
-1 -2
-2 -1
-2 -1
-2 0
-2 -2
-1 -1
-2 -1
-3 -1
-1 -1
-1 -2
0 0
-2 -1
-2 -1
-2 -1
-2 -1
-2 -1
-2 0
-2 -1
0 0
-2 -1
-1 0
-2 -2
-2 -1
-2 -2
-2 -1
-2 -2
-1 0
-1 -1
-1 -1
-2 0
-1 -2
-3 -1
-1 -1
0 -1
-1 -1
-2 -1
-1 -1
-2 0
-2 -1
-3 -1
-2 0
-2 -1
-2 -1
0 -1
0 0
-2 -1
-1 -2
-3 -1
-3 -1
-2 -2
0 -1
0 0
0 -1
-1 0
-1 0
-2 0
-2 -2
-1 0
-1 0
-2 -1
-2 -1
-2 -1
-1 -2
-2 -1
-2 -2
-1 -1
-1 -1
0 0
-1 -1
-1 -1
-1 0
-2 -1
-1 -1
-2 -1
0 0
-1 -1
-1 -2
-1 0
-1 -2
-2 -1
-2 -1
-1 -1
0 0
0 0
0 0
-1 -1
0 0
-1 -1
0 0
0 0
-1 -1
0 0
-1 -1
1 0
0 0
-1 -1
-1 -1
0 0
-2 -2
-1 -1
0 0
-1 0
0 0
0 0
0 0
0 -1
0 -1
-1 -1
-1 -1
0 0
0 0
0 0
-1 -1
0 0
-1 0
-2 -2
-1 -1
-1 -1
-1 -1
-1 -1
0 0
-1 0
-1 0
0 -1
0 0
-1 -1
-1 -1
-1 -2
-1 -1
0 0
-2 -2
-1 -1
-1 0
0 -1
-1 -1
-1 -1
-1 -1
0 0
0 0
-1 -1
-1 -1
-1 -1
-1 -1
-1 -2
-1 0
0 0
0 -1
-1 -1
0 0
0 -1
-1 -1
-1 -1
-1 -2
0 0
0 0
-1 -1
0 -1
-1 -1
0 -1
-1 -1
-1 0
-2 -2
-1 -2
0 -2
0 -1
0 -1
-1 -2
-1 0
0 0
0 -1
-1 -2
-1 -1
-1 -1
-1 -2
0 0
-1 -2
-1 -1
-1 -2
-1 0
-2 -1
-1 -1
-1 0
-2 -1
-1 -1
0 -1
-1 -1
-1 -1
0 -1
0 -1
-1 0
-1 -1
-1 -2
-1 -2
-1 -1
0 -2
0 0
-1 0
